feature_key,supernode_label,motivation,nota,activation_max,activation_sum,activation_mean,sparsity_ratio
25_25,nodo errore,,,0.0,0.0,0.0,0.0
24_24,nodo errore,,,0.0,0.0,0.0,0.0
23_23,nodo errore,,,0.0,0.0,0.0,0.0
22_11998,Dallas,"attivazione forte su Dallas, attivazione su is(Austin) debole, le feature Say(qualcosa) sono molto selettive e si attivano sullo stesso token funzionale (es. 'is')",,21.473478317260742,21.473478317260742,2.2371463775634766,0.9
22_32893,Say (Austin),unica attivazione su token funzionale 'is' prima di 'Austin',,46.686065673828125,46.686065673828125,5.187340630425347,0.888888888888889
22_74186,Say (Austin),"è sicuramente una feature sayX:attivazione solo su token funzionali (',' e 'is) la virgola sta tra Texas e USA, is è prima di austin, è un caso forse particolare l'attivazione più forte è sulla virgola tra luoghi americani ma potrebbe essere una differenziazione successiva",,8.636338233947754,8.636338233947754,0.8636338233947753,0.9
22_81571,Say Austin,unica attivazione su token funzionale 'is' prima di 'Austin',,27.45061683654785,27.45061683654785,3.0500685373942056,0.8888888888888888
21_16875,Say Austin,unica attivazione su token funzionale 'is' prima di 'Austin',,17.112422943115234,17.112422943115234,1.9013803270128038,0.8888888888888888
21_21,errore,,,0.0,0.0,0.0,0.0
21_61721,Say Austin,unica attivazione su token funzionale 'is' prima di 'Austin',,18.761146545410156,18.761146545410156,2.0845718383789062,0.8888888888888888
21_84338,Say Austin,"attivazione nettamente più forte su token funzionale 'is' prima di 'Austin, altra attivazione molto più lieve su token funzionale 'is' prima di 'Capital' parola semanticante vicina'",,38.49139404296875,57.22371768951416,6.358190854390462,0.8348152616324397
20_44686,Texas,"attivazione non nettamente più forte su token funzionale 'is' prima di 'Austin, presenza di attivazioni forti token semantici Texas e Dallas, scelgo Texas perché più forte",,57.440284729003906,111.7382698059082,12.415363311767578,0.7838561669681529
20_74108,Say (Capital),"attivazione nettamente più forte su token funzionale 'is' prima di Capital, altra attivazione più lieve su token funzionale 'is' prima di 'Austin' parola semanticante vicina'",sono insicuro su questa attribuzione,63.30609893798828,130.92694854736328,7.273719363742405,0.8851023916215813
19_13946,Say (Capital),"attivazione nettamente più forte su token funzionale 'is' prima di Capital, altra attivazione più lieve su token funzionale 'is' prima di 'Austin' parola semanticante vicina'",sono insicuro su questa attribuzione,66.8328628540039,118.54381847381592,6.585767692989773,0.901459141330271
19_54790,Say Austin,"attivazione nettamente più forte su token funzionale 'is' prima di 'Austin, altra attivazione molto più lieve su token funzionale 'is' prima di 'Capital' parola semanticante vicina'",se fossero più o meno in parità privilegerei Capital per dare profondità semantica all'intepretazione (Austin è scontato è token output),44.76298522949219,44.76298522949219,4.973665025499132,0.888888888888889
18_18,errore,,,0.0,0.0,0.0,0.0
18_3623,Say Austin,unica attivazione su token funzionale 'is' prima di 'Austin',,14.909049987792969,14.909049987792969,1.6565611097547743,0.888888888888889
18_56027,Dallas,"Unica attivazione forte su Dallas, che è anche un embedding del prompt di partenza",,34.67882537841797,34.67882537841797,3.467882537841797,0.9
18_61980,Say (Austin),"è sicuramente una feature sayX:attivazione solo su token funzionali (',' e 'is) la virgola sta tra Texas e USA, is è prima di austin, è un caso forse particolare l'attivazione più forte è sulla virgola tra luoghi americani ma potrebbe essere una differenziazione successiva",,32.00542449951172,32.00542449951172,3.556158277723524,0.8888888888888888
17_17,errore,,,0.0,0.0,0.0,0.0
17_1822,Say (Austin),"è sicuramente una feature sayX:attivazione solo su token funzionali (',' e 'is) la virgola sta tra Texas e USA, is è prima di austin, l'attivazione più forte è su is Austin",,15.288778305053711,15.288778305053711,1.6987531450059679,0.8888888888888888
17_98126,Say (Capital),"attivazione più forte su token funzionale 'is' prima di Capital, altra attivazione poco più lieve su token funzionale 'is' prima di 'Austin' parola semanticante vicina'",sono insicuro su questa attribuzione,20.673336029052734,54.458144187927246,3.025452454884847,0.8536543666376291
16_16,errore,,,0.0,0.0,0.0,0.0
16_89970,Texas, si attiva solo su Texas,,18.450956344604492,24.438182830810547,2.7153536478678384,0.8528339888104568
