swap_id,from_slug,from_state,from_capital,to_slug,to_state,to_capital,tier,tier_name,cities_found,notes,steered_output
arizona_tucson__to__california_oakland,arizona_tucson,Arizona,Phoenix,california_oakland,California,Sacramento,2,SUPPRESSED_ONLY,,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Tucson is’s population is 150,00"
arizona_tucson__to__colorado_colorado_springs,arizona_tucson,Arizona,Phoenix,colorado_colorado_springs,Colorado,Denver,4,TARGET_STATE_CITY,"Tucson, Springs",Found 'Springs' which is in Colorado (not capital),"<bos><bos>The capital of the state containing Tucson is Springs, Arizona, is Tucson. The city is located"
arizona_tucson__to__florida_miami,arizona_tucson,Arizona,Phoenix,florida_miami,Florida,Tallahassee,3,TARGET_STATE_ONLY,Keyser,Found 'Keyser' (ambiguous - could be FL university or WV city),"<bos><bos>The capital of the state containing Tucson is Keyser, the capital of the state of West Virginia"
arizona_tucson__to__georgia_savannah,arizona_tucson,Arizona,Phoenix,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,Phoenix,Source capital 'Phoenix' still in answer,"<bos><bos>The capital of the state containing Tucson is's largest city, Phoenix, Arizona is the second"
arizona_tucson__to__michigan_detroit,arizona_tucson,Arizona,Phoenix,michigan_detroit,Michigan,Lansing,2,SUPPRESSED_ONLY,,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Tucson is’s largest city, Lansing is a great place to"
arizona_tucson__to__montana_billings,arizona_tucson,Arizona,Phoenix,montana_billings,Montana,Helena,4,TARGET_STATE_CITY,"Billings, Hi-Line",Found 'Billings' which is in Montana (not capital),"<bos><bos>The capital of the state containing Tucson is Hi-Line, Montana, is Billings.

The"
arizona_tucson__to__nevada_las_vegas,arizona_tucson,Arizona,Phoenix,nevada_las_vegas,Nevada,Carson City,2,SUPPRESSED_ONLY,,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Tucson isщs largest city, Las Vegas, is located in"
arizona_tucson__to__ohio_cleveland,arizona_tucson,Arizona,Phoenix,ohio_cleveland,Ohio,Columbus,5,PERFECT,Columbus,Target capital 'Columbus' found in output,"<bos><bos>The capital of the state containing Tucson is’s largest city, Columbus was founded in 1"
arizona_tucson__to__oregon_portland,arizona_tucson,Arizona,Phoenix,oregon_portland,Oregon,Salem,2,SUPPRESSED_ONLY,,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Tucson is’s population is 150,00"
arizona_tucson__to__texas_dallas,arizona_tucson,Arizona,Phoenix,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,San Antonio,Found 'San Antonio' which is in Texas (not capital),"<bos><bos>The capital of the state containing Tucson is County, Texas, is San Antonio.

The city"
