,feature_key,layer,prompt,supernode_name,pred_label,subtype,peak_token,activation_max,target_tokens,index,source,activation_sum,activation_mean,sparsity_ratio,peak_token_idx,node_influence,csv_ctx_idx,peak_token_type,tokens_source,confidence,review,why_review,top_activations_probe_original
0,19_24018,19,"entity: A city in California, USA is Oakland",California,Semantic,Concept, Oakland,10.702951431274414,"[{""token"": "" Oakland"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",24018,19-clt-hp,17.657882690429688,1.7657882690429687,0.8350185665719018,10,0.0113708674907684,8,semantic,n/a,0.7,false,,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
1,19_24018,19,entity: The capital city of California is Sacramento,California,Semantic,Concept, is,27.14249610900879,"[{""token"": "" Sacramento"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}]",24018,19-clt-hp,53.112149238586426,5.901349915398492,0.7825789532511054,8,0.0113708674907684,8,functional,json,0.7,false,,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
2,19_24018,19,entity: A state in the United States is California,California,Semantic,Concept, California,18.449951171875,"[{""token"": "" California"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",24018,19-clt-hp,18.449951171875,1.8449951171875,0.8999999999999999,10,0.0113708674907684,8,semantic,n/a,0.7,false,,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
3,19_24018,19,attribute: The primary city serving as the seat of government for a state is the capital city,California,Semantic,Concept,attribute,0,"[{""token"": ""attribute"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",24018,19-clt-hp,0,0,0,1,0.0113708674907684,8,semantic,n/a,0.7,false,,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
4,19_24018,19,relationship: the state in which a city is located is the state containing,California,Semantic,Concept,relationship,0,"[{""token"": ""relationship"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",24018,19-clt-hp,0,0,0,1,0.0113708674907684,8,semantic,n/a,0.7,false,,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
5,1_72774,1,"entity: A city in California, USA is Oakland",(capital) related,Relationship,, USA,80.95504760742188,"[{""token"": "" USA"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",72774,1-clt-hp,635.2220573425293,63.52220573425293,0.2153397766833099,8,0.0108889639377594,8,semantic,n/a,1,false,,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
6,1_72774,1,entity: The capital city of California is Sacramento,(capital) related,Relationship,, city,84.13487243652344,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",72774,1-clt-hp,616.1815986633301,68.46462207370334,0.186251549553875,5,0.0108889639377594,8,semantic,n/a,1,false,,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
7,1_72774,1,entity: A state in the United States is California,(capital) related,Relationship,, state,91.9457550048828,"[{""token"": "" state"", ""index"": 4, ""distance"": 0, ""direction"": ""self""}]",72774,1-clt-hp,694.1671600341797,69.41671600341797,0.2450253304273636,4,0.0108889639377594,8,semantic,n/a,1,false,,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
8,1_72774,1,attribute: The primary city serving as the seat of government for a state is the capital city,(capital) related,Relationship,, primary,122.51927185058594,"[{""token"": "" primary"", ""index"": 4, ""distance"": 0, ""direction"": ""self""}]",72774,1-clt-hp,1543.6992301940918,85.76106834411621,0.3000197679210573,4,0.0108889639377594,8,semantic,n/a,1,false,,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
9,1_72774,1,relationship: the state in which a city is located is the state containing,(capital) related,Relationship,, containing,97.75382995605467,"[{""token"": "" containing"", ""index"": 14, ""distance"": 0, ""direction"": ""self""}]",72774,1-clt-hp,931.018913269043,66.50135094778878,0.3197059288860138,14,0.0108889639377594,8,semantic,n/a,1,false,,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
