ablate_count,amplify_count,total_count,from_suppressed,to_capital_hit,to_capital_hit_fuzzy,first_token_matches_target,first_token_steered,first_token_steered_prob,to_in_steered_topk_prob,from_in_steered_topk_prob,to_answer,from_answer,condition,from_slug,to_slug,variant,run_id
85,104,189,1,0,0,0,Datuak,0.87890625,0.0,0.0,Sacramento,Austin,auto_dallas,texas_dallas,california_oakland,add_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
85,106,191,1,0,0,0, Little,0.11767578125,0.0,0.0,Tallahassee,Austin,auto_dallas,texas_dallas,florida_miami,add_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
85,94,179,1,0,0,0, DOWN,0.2138671875,0.0,0.0,Springfield,Austin,auto_dallas,texas_dallas,illinois_chicago,add_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
85,63,148,1,0,0,0,...,0.466796875,0.0,0.0,Albany,Austin,auto_dallas,texas_dallas,new_york_new_york_city,add_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
85,87,172,1,0,0,0,...,0.3359375,0.0,0.0,Olympia,Austin,auto_dallas,texas_dallas,washington_seattle,add_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
156,174,330,1,0,0,0,Datuak,0.341796875,0.0,0.0,Sacramento,Austin,auto_dallas,texas_dallas,california_oakland,add_capital_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
156,175,331,1,0,0,0, D,0.2158203125,0.0,0.0,Tallahassee,Austin,auto_dallas,texas_dallas,florida_miami,add_capital_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
156,176,332,1,0,0,0, humaines,0.1494140625,0.0,0.0,Springfield,Austin,auto_dallas,texas_dallas,illinois_chicago,add_capital_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
156,178,334,1,0,0,0,LLocation,0.0849609375,0.0,0.0,Albany,Austin,auto_dallas,texas_dallas,new_york_new_york_city,add_capital_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
156,156,312,0,0,0,0,",",0.298828125,0.0,0.0,Olympia,Austin,auto_dallas,texas_dallas,washington_seattle,add_capital_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
71,70,141,0,0,0,0,",",0.7421875,0.0,0.0,Sacramento,Austin,auto_dallas,texas_dallas,california_oakland,add_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
71,69,140,0,0,0,0,ensis,0.1943359375,0.0,0.0,Tallahassee,Austin,auto_dallas,texas_dallas,florida_miami,add_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
71,82,153,0,0,0,0, împre,0.55859375,0.0,0.0,Springfield,Austin,auto_dallas,texas_dallas,illinois_chicago,add_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
71,115,186,0,0,0,0,ImageContext,0.083984375,0.0,0.0,Albany,Austin,auto_dallas,texas_dallas,new_york_new_york_city,add_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
71,69,140,0,0,0,0,",",0.5390625,0.0,0.0,Olympia,Austin,auto_dallas,texas_dallas,washington_seattle,add_city,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
55,50,105,1,0,0,0, betweenstory,0.1611328125,0.0,0.0,Sacramento,Austin,auto_dallas,texas_dallas,california_oakland,add_state,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
55,59,114,0,0,0,0, West,0.031494140625,0.0,0.0,Tallahassee,Austin,auto_dallas,texas_dallas,florida_miami,add_state,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
55,72,127,1,1,1,0, IL,0.330078125,0.0,0.0,Springfield,Austin,auto_dallas,texas_dallas,illinois_chicago,add_state,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
55,115,170,0,0,0,0,ImageContext,0.08837890625,0.0,0.0,Albany,Austin,auto_dallas,texas_dallas,new_york_new_york_city,add_state,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
55,60,115,0,0,0,0, state,0.1630859375,0.0,0.0,Olympia,Austin,auto_dallas,texas_dallas,washington_seattle,add_state,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
140,154,294,1,0,0,0,Datuak,0.98046875,0.0,0.0,Sacramento,Austin,auto_dallas,texas_dallas,california_oakland,add_state_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
140,165,305,1,0,1,1, TALL,0.447265625,0.0,0.0,Tallahassee,Austin,auto_dallas,texas_dallas,florida_miami,add_state_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
140,166,306,1,0,0,0, Efq,0.38671875,0.03173828125,0.0,Springfield,Austin,auto_dallas,texas_dallas,illinois_chicago,add_state_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
140,178,318,1,0,0,0, myſelf,0.08203125,0.0,0.0,Albany,Austin,auto_dallas,texas_dallas,new_york_new_york_city,add_state_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
140,147,287,1,0,0,0, nélk,0.1669921875,0.0,0.0,Olympia,Austin,auto_dallas,texas_dallas,washington_seattle,add_state_capital,20260503_224350_smoke_swap_auto_dallas_mab-2_mam20_seed42_cfg-d206b6bccb
