feature_key,layer,index,source,prompt,activation_max,activation_sum,activation_mean,sparsity_ratio,peak_token,peak_token_idx,node_influence,csv_ctx_idx,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
20_79562,20,79562,20-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,67.29100036621094,174.6195969581604,14.5516330798467,0.7837506798731801, is,9,0.0083156824111938,11,functional,"[{""token"": ""phrag"", ""index"": 11, ""distance"": 2, ""direction"": ""forward""}]",json,Semantic,Concept,0.7,False,,tightening,"[{""tk"": ""is"", ""act"": 67.29100036621094}, {""tk"": ""tightening"", ""act"": 34.05815124511719}, {""tk"": ""muscles"", ""act"": 25.051008224487305}, {""tk"": ""muscle"", ""act"": 16.11349868774414}, {""tk"": ""the"", ""act"": 14.949569702148438}, {""tk"": ""phrag"", ""act"": 5.6145195960998535}, {""tk"": ""involved"", ""act"": 0.0}, {""tk"": ""inhalation"", ""act"": 0.0}, {""tk"": ""process"", ""act"": 0.0}, {""tk"": ""breathing"", ""act"": 0.0}, {""tk"": ""facilitate"", ""act"": 0.0}, {""tk"": ""that"", ""act"": 0.0}, {""tk"": ""involves"", ""act"": 0.0}, {""tk"": ""full"", ""act"": 0.0}]"
20_79562,20,79562,20-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.0083156824111938,11,semantic,"[{""token"": ""process"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,tightening,"[{""tk"": ""is"", ""act"": 67.29100036621094}, {""tk"": ""tightening"", ""act"": 34.05815124511719}, {""tk"": ""muscles"", ""act"": 25.051008224487305}, {""tk"": ""muscle"", ""act"": 16.11349868774414}, {""tk"": ""the"", ""act"": 14.949569702148438}, {""tk"": ""phrag"", ""act"": 5.6145195960998535}, {""tk"": ""involved"", ""act"": 0.0}, {""tk"": ""inhalation"", ""act"": 0.0}, {""tk"": ""process"", ""act"": 0.0}, {""tk"": ""breathing"", ""act"": 0.0}, {""tk"": ""facilitate"", ""act"": 0.0}, {""tk"": ""that"", ""act"": 0.0}, {""tk"": ""involves"", ""act"": 0.0}, {""tk"": ""full"", ""act"": 0.0}]"
20_79562,20,79562,20-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,34.05815124511719,81.10183763504028,6.2386028950030985,0.816824969444062, tightening,7,0.0083156824111938,11,semantic,"[{""token"": "" tightening"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,tightening,"[{""tk"": ""is"", ""act"": 67.29100036621094}, {""tk"": ""tightening"", ""act"": 34.05815124511719}, {""tk"": ""muscles"", ""act"": 25.051008224487305}, {""tk"": ""muscle"", ""act"": 16.11349868774414}, {""tk"": ""the"", ""act"": 14.949569702148438}, {""tk"": ""phrag"", ""act"": 5.6145195960998535}, {""tk"": ""involved"", ""act"": 0.0}, {""tk"": ""inhalation"", ""act"": 0.0}, {""tk"": ""process"", ""act"": 0.0}, {""tk"": ""breathing"", ""act"": 0.0}, {""tk"": ""facilitate"", ""act"": 0.0}, {""tk"": ""that"", ""act"": 0.0}, {""tk"": ""involves"", ""act"": 0.0}, {""tk"": ""full"", ""act"": 0.0}]"
20_79562,20,79562,20-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.0083156824111938,11,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,tightening,"[{""tk"": ""is"", ""act"": 67.29100036621094}, {""tk"": ""tightening"", ""act"": 34.05815124511719}, {""tk"": ""muscles"", ""act"": 25.051008224487305}, {""tk"": ""muscle"", ""act"": 16.11349868774414}, {""tk"": ""the"", ""act"": 14.949569702148438}, {""tk"": ""phrag"", ""act"": 5.6145195960998535}, {""tk"": ""involved"", ""act"": 0.0}, {""tk"": ""inhalation"", ""act"": 0.0}, {""tk"": ""process"", ""act"": 0.0}, {""tk"": ""breathing"", ""act"": 0.0}, {""tk"": ""facilitate"", ""act"": 0.0}, {""tk"": ""that"", ""act"": 0.0}, {""tk"": ""involves"", ""act"": 0.0}, {""tk"": ""full"", ""act"": 0.0}]"
20_79562,20,79562,20-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,14.949569702148438,27.13676643371582,1.6960479021072388,0.8865487143845019, the,12,0.0083156824111938,11,functional,"[{""token"": "" lungs"", ""index"": 13, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Concept,0.7,False,,tightening,"[{""tk"": ""is"", ""act"": 67.29100036621094}, {""tk"": ""tightening"", ""act"": 34.05815124511719}, {""tk"": ""muscles"", ""act"": 25.051008224487305}, {""tk"": ""muscle"", ""act"": 16.11349868774414}, {""tk"": ""the"", ""act"": 14.949569702148438}, {""tk"": ""phrag"", ""act"": 5.6145195960998535}, {""tk"": ""involved"", ""act"": 0.0}, {""tk"": ""inhalation"", ""act"": 0.0}, {""tk"": ""process"", ""act"": 0.0}, {""tk"": ""breathing"", ""act"": 0.0}, {""tk"": ""facilitate"", ""act"": 0.0}, {""tk"": ""that"", ""act"": 0.0}, {""tk"": ""involves"", ""act"": 0.0}, {""tk"": ""full"", ""act"": 0.0}]"
1_72774,1,72774,1-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,118.65193176269533,923.9856147766112,76.99880123138428,0.3510531174040856, deep,7,0.0080268085002899,11,semantic,"[{""token"": "" deep"", ""index"": 7, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(breathing) related,"[{""tk"": ""breathing"", ""act"": 122.33049011230469}, {""tk"": ""full"", ""act"": 108.40861511230469}, {""tk"": ""involved"", ""act"": 106.95318603515625}, {""tk"": ""involves"", ""act"": 101.35823059082031}, {""tk"": ""phrag"", ""act"": 91.60186767578125}, {""tk"": ""facilitate"", ""act"": 91.12896728515625}, {""tk"": ""inhalation"", ""act"": 90.21794128417969}, {""tk"": ""tightening"", ""act"": 88.48513793945312}, {""tk"": ""is"", ""act"": 80.33343505859375}, {""tk"": ""Muscle"", ""act"": 73.30787658691406}, {""tk"": ""muscles"", ""act"": 72.78814697265625}, {""tk"": ""the"", ""act"": 72.25006103515625}, {""tk"": ""that"", ""act"": 66.43220520019531}, {""tk"": ""process"", ""act"": 35.71525955200195}]"
1_72774,1,72774,1-clt-hp,process: The act of breathing in air. is Inhalation,84.25283813476562,659.7492923736572,59.9772083976052,0.2881283322269883, breathing,6,0.0080268085002899,11,semantic,"[{""token"": "" breathing"", ""index"": 6, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(breathing) related,"[{""tk"": ""breathing"", ""act"": 122.33049011230469}, {""tk"": ""full"", ""act"": 108.40861511230469}, {""tk"": ""involved"", ""act"": 106.95318603515625}, {""tk"": ""involves"", ""act"": 101.35823059082031}, {""tk"": ""phrag"", ""act"": 91.60186767578125}, {""tk"": ""facilitate"", ""act"": 91.12896728515625}, {""tk"": ""inhalation"", ""act"": 90.21794128417969}, {""tk"": ""tightening"", ""act"": 88.48513793945312}, {""tk"": ""is"", ""act"": 80.33343505859375}, {""tk"": ""Muscle"", ""act"": 73.30787658691406}, {""tk"": ""muscles"", ""act"": 72.78814697265625}, {""tk"": ""the"", ""act"": 72.25006103515625}, {""tk"": ""that"", ""act"": 66.43220520019531}, {""tk"": ""process"", ""act"": 35.71525955200195}]"
1_72774,1,72774,1-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,101.29920959472656,937.6681480407716,72.12831908005934,0.2879676024262463, contraction,13,0.0080268085002899,11,semantic,"[{""token"": "" contraction"", ""index"": 13, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(breathing) related,"[{""tk"": ""breathing"", ""act"": 122.33049011230469}, {""tk"": ""full"", ""act"": 108.40861511230469}, {""tk"": ""involved"", ""act"": 106.95318603515625}, {""tk"": ""involves"", ""act"": 101.35823059082031}, {""tk"": ""phrag"", ""act"": 91.60186767578125}, {""tk"": ""facilitate"", ""act"": 91.12896728515625}, {""tk"": ""inhalation"", ""act"": 90.21794128417969}, {""tk"": ""tightening"", ""act"": 88.48513793945312}, {""tk"": ""is"", ""act"": 80.33343505859375}, {""tk"": ""Muscle"", ""act"": 73.30787658691406}, {""tk"": ""muscles"", ""act"": 72.78814697265625}, {""tk"": ""the"", ""act"": 72.25006103515625}, {""tk"": ""that"", ""act"": 66.43220520019531}, {""tk"": ""process"", ""act"": 35.71525955200195}]"
1_72774,1,72774,1-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,105.5308074951172,1109.0330619812012,73.93553746541342,0.2993938052749729, system,15,0.0080268085002899,11,semantic,"[{""token"": "" system"", ""index"": 15, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(breathing) related,"[{""tk"": ""breathing"", ""act"": 122.33049011230469}, {""tk"": ""full"", ""act"": 108.40861511230469}, {""tk"": ""involved"", ""act"": 106.95318603515625}, {""tk"": ""involves"", ""act"": 101.35823059082031}, {""tk"": ""phrag"", ""act"": 91.60186767578125}, {""tk"": ""facilitate"", ""act"": 91.12896728515625}, {""tk"": ""inhalation"", ""act"": 90.21794128417969}, {""tk"": ""tightening"", ""act"": 88.48513793945312}, {""tk"": ""is"", ""act"": 80.33343505859375}, {""tk"": ""Muscle"", ""act"": 73.30787658691406}, {""tk"": ""muscles"", ""act"": 72.78814697265625}, {""tk"": ""the"", ""act"": 72.25006103515625}, {""tk"": ""that"", ""act"": 66.43220520019531}, {""tk"": ""process"", ""act"": 35.71525955200195}]"
1_72774,1,72774,1-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,122.33049011230467,1396.009027481079,87.25056421756744,0.2867635522634819, breathing,16,0.0080268085002899,11,semantic,"[{""token"": "" breathing"", ""index"": 16, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(breathing) related,"[{""tk"": ""breathing"", ""act"": 122.33049011230469}, {""tk"": ""full"", ""act"": 108.40861511230469}, {""tk"": ""involved"", ""act"": 106.95318603515625}, {""tk"": ""involves"", ""act"": 101.35823059082031}, {""tk"": ""phrag"", ""act"": 91.60186767578125}, {""tk"": ""facilitate"", ""act"": 91.12896728515625}, {""tk"": ""inhalation"", ""act"": 90.21794128417969}, {""tk"": ""tightening"", ""act"": 88.48513793945312}, {""tk"": ""is"", ""act"": 80.33343505859375}, {""tk"": ""Muscle"", ""act"": 73.30787658691406}, {""tk"": ""muscles"", ""act"": 72.78814697265625}, {""tk"": ""the"", ""act"": 72.25006103515625}, {""tk"": ""that"", ""act"": 66.43220520019531}, {""tk"": ""process"", ""act"": 35.71525955200195}]"
