feature_key,layer,index,source,prompt,activation_max,activation_sum,activation_mean,sparsity_ratio,peak_token,peak_token_idx,node_influence,csv_ctx_idx
1_12928,1,12928,1-clt-hp,relationship: The relationship between 'small' and 'large' as antonyms is opposite terms,115.04610443115234,1347.8340682983398,74.87967046101888,0.3491333684763788,relationship,1,0.0096316039562225,7.0
1_12928,1,12928,1-clt-hp,attribute: A term describing something of limited size. is small,116.84419250488281,968.4426727294922,80.70355606079102,0.3093062279717626,attribute,1,0.0096316039562225,7.0
1_12928,1,12928,1-clt-hp,attribute: A term describing something of considerable size is large,116.84419250488281,890.9560546875,80.9960049715909,0.30680333155448736,attribute,1,0.0096316039562225,7.0
1_12928,1,12928,1-clt-hp,process: The linguistic process of identifying words with opposite meanings. is antonym,106.4970703125,1186.2797660827637,79.08531773885092,0.25739442872196694,process,1,0.0096316039562225,7.0
1_12928,1,12928,1-clt-hp,concept: The concept of comparing objects based on their dimensions is size comparison,103.40011596679688,1081.3108024597168,77.23648588997978,0.2530328891044821,concept,1,0.0096316039562225,7.0
1_72774,1,72774,1-clt-hp,relationship: The relationship between 'small' and 'large' as antonyms is opposite terms,93.70307922363281,1275.29927444458,70.84995969136556,0.24388867176633275,onyms,15,0.0095889568328857,7.0
1_72774,1,72774,1-clt-hp,attribute: A term describing something of limited size. is small,107.61253356933594,891.4604568481445,74.28837140401204,0.30966803828526884, size,9,0.0095889568328857,7.0
1_72774,1,72774,1-clt-hp,attribute: A term describing something of considerable size is large,103.82286071777344,865.4077796936035,78.67343451760031,0.24223399380737534, size,9,0.0095889568328857,7.0
1_72774,1,72774,1-clt-hp,process: The linguistic process of identifying words with opposite meanings. is antonym,97.35592651367188,923.730396270752,61.58202641805013,0.36745477524265513, process,5,0.0095889568328857,7.0
1_72774,1,72774,1-clt-hp,concept: The concept of comparing objects based on their dimensions is size comparison,112.2296142578125,963.265380859375,68.80467006138393,0.3869294613868432, concept,4,0.0095889568328857,7.0
1_57794,1,57794,1-clt-hp,relationship: The relationship between 'small' and 'large' as antonyms is opposite terms,121.10599517822266,1347.5583953857422,74.8643552992079,0.381827834459924,relationship,1,0.0081024467945098,7.0
1_57794,1,57794,1-clt-hp,attribute: A term describing something of limited size. is small,125.40211486816406,972.3803405761719,81.03169504801433,0.3538251317914104,attribute,1,0.0081024467945098,7.0
