swap_id,from_slug,from_state,from_capital,to_slug,to_state,to_capital,tier,tier_name,cities_found,notes,steered_output
alabama_birmingham__to__alabama_birmingham,alabama_birmingham,Alabama,Montgomery,alabama_birmingham,Alabama,Montgomery,4,TARGET_STATE_CITY,Birmingham,Found 'Birmingham' which is in Alabama (not capital),"<bos><bos>The capital of the state containing Birmingham is Birmingham.

Birmingham is a city in Alabama, United"
alabama_birmingham__to__alaska_anchorage,alabama_birmingham,Alabama,Montgomery,alaska_anchorage,Alaska,Juneau,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is Boroughs

[User 0001]"
alabama_birmingham__to__arizona_tucson,alabama_birmingham,Alabama,Montgomery,arizona_tucson,Arizona,Phoenix,5,PERFECT,"Birmingham, Phoenix",Target capital 'Phoenix' found in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Phoenix is a great place to"
alabama_birmingham__to__arkansas_fayetteville,alabama_birmingham,Alabama,Montgomery,arkansas_fayetteville,Arkansas,Little Rock,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is, Alabama is Montgomery.

The city of Montgomery has"
alabama_birmingham__to__california_oakland,alabama_birmingham,Alabama,Montgomery,california_oakland,California,Sacramento,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is’s population is 150,00"
alabama_birmingham__to__colorado_colorado_springs,alabama_birmingham,Alabama,Montgomery,colorado_colorado_springs,Colorado,Denver,5,PERFECT,"Birmingham, Denver, Springs",Target capital 'Denver' found in output,"<bos><bos>The capital of the state containing Birmingham is Springs is Denver.

Denver is the capital of Colorado"
alabama_birmingham__to__connecticut_bridgeport,alabama_birmingham,Alabama,Montgomery,connecticut_bridgeport,Connecticut,Hartford,4,TARGET_STATE_CITY,"Birmingham, New Haven",Found 'New Haven' which is in Connecticut (not capital),"<bos><bos>The capital of the state containing Birmingham is shoreline, New Haven, Connecticut was founded in 1"
alabama_birmingham__to__delaware_wilmington,alabama_birmingham,Alabama,Montgomery,delaware_wilmington,Delaware,Dover,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is County, Alabama, is Montgomery. The city is located"
alabama_birmingham__to__florida_miami,alabama_birmingham,Alabama,Montgomery,florida_miami,Florida,Tallahassee,3,TARGET_STATE_ONLY,"Birmingham, Keyser",Found 'Keyser' (ambiguous - could be FL university or WV city),"<bos><bos>The capital of the state containing Birmingham is Keyser, West Virginia, is a city that has"
alabama_birmingham__to__georgia_savannah,alabama_birmingham,Alabama,Montgomery,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is's largest city, Alabama's Montgomery is a"
alabama_birmingham__to__hawaii_hilo,alabama_birmingham,Alabama,Montgomery,hawaii_hilo,Hawaii,Honolulu,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is hale and hearty, the city of Birmingham is one of"
alabama_birmingham__to__idaho_idaho_falls,alabama_birmingham,Alabama,Montgomery,idaho_idaho_falls,Idaho,Boise,5,PERFECT,"Birmingham, Boise",Target capital 'Boise' found in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, <strong>Boise</strong> has"
alabama_birmingham__to__illinois_chicago,alabama_birmingham,Alabama,Montgomery,illinois_chicago,Illinois,Springfield,5,PERFECT,"Birmingham, Springfield",Target capital 'Springfield' found in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Springfield is a great place to"
alabama_birmingham__to__indiana_fort_wayne,alabama_birmingham,Alabama,Montgomery,indiana_fort_wayne,Indiana,Indianapolis,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is Efq;
of the United States, and the city"
alabama_birmingham__to__iowa_cedar_rapids,alabama_birmingham,Alabama,Montgomery,iowa_cedar_rapids,Iowa,Des Moines,5,PERFECT,"Birmingham, Des Moines",Target capital 'Des Moines' found in output,"<bos><bos>The capital of the state containing Birmingham is Iowa, Des Moines.

The city of Des Moines"
alabama_birmingham__to__kansas_wichita,alabama_birmingham,Alabama,Montgomery,kansas_wichita,Kansas,Topeka,4,TARGET_STATE_CITY,"Birmingham, Kansas City",Found 'Kansas City' which is in Kansas (not capital),"<bos><bos>The capital of the state containing Birmingham is, Kansas City is a city that has a lot to"
alabama_birmingham__to__kentucky_louisville,alabama_birmingham,Alabama,Montgomery,kentucky_louisville,Kentucky,Frankfort,4,TARGET_STATE_CITY,"Birmingham, Lexington",Found 'Lexington' which is in Kentucky (not capital),"<bos><bos>The capital of the state containing Birmingham is’s largest city, Lexington is a great place to"
alabama_birmingham__to__louisiana_new_orleans,alabama_birmingham,Alabama,Montgomery,louisiana_new_orleans,Louisiana,Baton Rouge,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected",<bos><bos>The capital of the state containing Birmingham is Barataria is the capital of the state. The city
alabama_birmingham__to__maine_portland,alabama_birmingham,Alabama,Montgomery,maine_portland,Maine,Augusta,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Montgomery is a great place to"
alabama_birmingham__to__maryland_baltimore,alabama_birmingham,Alabama,Montgomery,maryland_baltimore,Maryland,Annapolis,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Montgomery County is a great place"
alabama_birmingham__to__massachusetts_worcester,alabama_birmingham,Alabama,Montgomery,massachusetts_worcester,Massachusetts,Boston,5,PERFECT,"Birmingham, Boston",Target capital 'Boston' found in output,"<bos><bos>The capital of the state containing Birmingham is:

The capital of the state containing Boston:

"
alabama_birmingham__to__michigan_detroit,alabama_birmingham,Alabama,Montgomery,michigan_detroit,Michigan,Lansing,5,PERFECT,"Birmingham, Lansing",Target capital 'Lansing' found in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Lansing is a great place to"
alabama_birmingham__to__minnesota_minneapolis,alabama_birmingham,Alabama,Montgomery,minnesota_minneapolis,Minnesota,Saint Paul,4,TARGET_STATE_CITY,"Birmingham, St. Paul",Found 'St. Paul' which is in Minnesota (not capital),"<bos><bos>The capital of the state containing Birmingham is’s largest city, St. Paul is home to"
alabama_birmingham__to__mississippi_gulfport,alabama_birmingham,Alabama,Montgomery,mississippi_gulfport,Mississippi,Jackson,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is in Alabama.

The city of Birmingham is located in"
alabama_birmingham__to__missouri_kansas_city,alabama_birmingham,Alabama,Montgomery,missouri_kansas_city,Missouri,Jefferson City,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is’s largest city, Birmingham, is the second-"
alabama_birmingham__to__montana_billings,alabama_birmingham,Alabama,Montgomery,montana_billings,Montana,Helena,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is﻿// <summary>
// The main class for the"
alabama_birmingham__to__nebraska_omaha,alabama_birmingham,Alabama,Montgomery,nebraska_omaha,Nebraska,Lincoln,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected",<bos><bos>The capital of the state containing Birmingham is nahilalakip hailing from the 1800s
alabama_birmingham__to__nevada_las_vegas,alabama_birmingham,Alabama,Montgomery,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,"Birmingham, Las Vegas",Found 'Las Vegas' which is in Nevada (not capital),"<bos><bos>The capital of the state containing Birmingham isщs largest city, Las Vegas, is one of"
alabama_birmingham__to__new_hampshire_manchester,alabama_birmingham,Alabama,Montgomery,new_hampshire_manchester,New Hampshire,Concord,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is:

The capital of the state containing Birmingham is "
alabama_birmingham__to__new_jersey_newark,alabama_birmingham,Alabama,Montgomery,new_jersey_newark,New Jersey,Trenton,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham isSequentialGroup:

* 1. The capital of the"
alabama_birmingham__to__new_mexico_albuquerque,alabama_birmingham,Alabama,Montgomery,new_mexico_albuquerque,New Mexico,Santa Fe,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is démocratique, Alabama, is a city that has been around"
alabama_birmingham__to__new_york_new_york_city,alabama_birmingham,Alabama,Montgomery,new_york_new_york_city,New York,Albany,2,SUPPRESSED_ONLY,Birmingham,Output contains nonsense/garbled tokens,"<bos><bos>The capital of the state containing Birmingham isValueStyle.

The capital of the state containing Birmingham."
alabama_birmingham__to__north_carolina_charlotte,alabama_birmingham,Alabama,Montgomery,north_carolina_charlotte,North Carolina,Raleigh,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham isXmlAccessorType(
    @XmlSeeAlso({
        "
alabama_birmingham__to__north_dakota_fargo,alabama_birmingham,Alabama,Montgomery,north_dakota_fargo,North Dakota,Bismarck,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected",<bos><bos>The capital of the state containing Birmingham is Theodore Roosevelt was born in 1858 and
alabama_birmingham__to__ohio_cleveland,alabama_birmingham,Alabama,Montgomery,ohio_cleveland,Ohio,Columbus,4,TARGET_STATE_CITY,"Birmingham, Toledo",Found 'Toledo' which is in Ohio (not capital),"<bos><bos>The capital of the state containing Birmingham is’s largest city, Toledo is a great place to"
alabama_birmingham__to__oklahoma_tulsa,alabama_birmingham,Alabama,Montgomery,oklahoma_tulsa,Oklahoma,Oklahoma City,4,TARGET_STATE_CITY,"Birmingham, Tulsa",Found 'Tulsa' which is in Oklahoma (not capital),"<bos><bos>The capital of the state containing Birmingham isAddTagHelper.

The capital of the state containing Tulsa and"
alabama_birmingham__to__oregon_portland,alabama_birmingham,Alabama,Montgomery,oregon_portland,Oregon,Salem,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is’s population is 150,00"
alabama_birmingham__to__pennsylvania_philadelphia,alabama_birmingham,Alabama,Montgomery,pennsylvania_philadelphia,Pennsylvania,Harrisburg,5,PERFECT,"Birmingham, Harrisburg",Target capital 'Harrisburg' found in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Harrisburg is a great place to"
alabama_birmingham__to__rhode_island_warwick,alabama_birmingham,Alabama,Montgomery,rhode_island_warwick,Rhode Island,Providence,5,PERFECT,"Birmingham, Providence",Target capital 'Providence' found in output,"<bos><bos>The capital of the state containing Birmingham is Providential Providence, Rhode Island, is a great place"
alabama_birmingham__to__south_carolina_charleston,alabama_birmingham,Alabama,Montgomery,south_carolina_charleston,South Carolina,Columbia,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected",<bos><bos>The capital of the state containing Birmingham is Congratulates the 2017-2
alabama_birmingham__to__south_dakota_sioux_falls,alabama_birmingham,Alabama,Montgomery,south_dakota_sioux_falls,South Dakota,Pierre,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is’s largest city, <strong>Birmingham</strong> is a"
alabama_birmingham__to__tennessee_memphis,alabama_birmingham,Alabama,Montgomery,tennessee_memphis,Tennessee,Nashville,1,SOURCE_PERSISTS,"Montgomery, Birmingham",Source capital 'Montgomery' still in output,"<bos><bos>The capital of the state containing Birmingham is’s largest city, Montgomery is a great place to"
alabama_birmingham__to__texas_dallas,alabama_birmingham,Alabama,Montgomery,texas_dallas,Texas,Austin,3,TARGET_STATE_ONLY,Birmingham,Target state 'Texas' mentioned but no valid city found,"<bos><bos>The capital of the state containing Birmingham is County, Texas, is a city that has been around"
alabama_birmingham__to__utah_provo,alabama_birmingham,Alabama,Montgomery,utah_provo,Utah,Salt Lake City,2,SUPPRESSED_ONLY,Birmingham,"Source suppressed, no geographic content detected","<bos><bos>The capital of the state containing Birmingham is Too much to do in one day?

* "
